年底別,黃金[飾金]市價[元/臺錢],美元匯率官價[元],美元匯率市價[元],日圓匯率官價/買價[元],日圓匯率官價/賣價[元],日圓匯率市價[元],港幣匯率官價/買價[元],港幣匯率官價/賣價[元],港幣匯率市價[元],民間遠期支票借款平均利率[月息百分比率],民間信用拆借平均利率[月息百分比率],公定利息[每萬元月息]
79年,1318.35,27.11,27.26,0.2,0.2,0.21,3.45,3.5,3.51,2,2.03,83
80年,1233.34,25.75,26,0.2,0.21,0.2,3.28,3.34,3.35,1.89,1.95,72
81年,1129.99,25.4,25.57,0.2,0.21,0.21,3.26,3.32,3.3,1.93,1.98,69
82年,1333.31,26.63,26.99,0.24,0.24,0.25,3.42,3.49,3.5,1.93,2.07,68
83年,1326.68,26.24,26.56,0.26,0.27,0.26,3.37,3.43,3.44,1.96,2.04,68
84年,1393.31,27.27,27.47,0.26,0.27,0.27,3.5,3.56,3.56,1.89,1.95,66
85年,1356.65,27.49,27.65,0.24,0.24,0.24,3.52,3.58,3.6,1.84,1.93,64
86年,1246.66,32.64,32.55,0.25,0.25,0.25,4.17,4.23,4.26,1.83,2.11,65
87年,1266.68,32.22,32.5,0.28,0.29,0.27,4.13,4.19,4.25,1.76,1.98,67
88年,1213.31,31.4,31.82,0.31,0.31,0.31,4.01,4.07,4.15,1.74,2.01,67
89年,1200,32.99,33.3,0.29,0.29,0.29,4.2,4.26,4.32,1.88,2.14,67
90年,1266.68,35,34.85,0.26,0.27,0.27,4.46,4.52,4.53,1.51,1.79,65
91年,1500,34.75,35.06,0.29,0.3,0.29,4.43,4.49,4.55,1.37,1.66,63
92年,1753.35,33.98,34.26,0.32,0.32,0.32,4.35,4.41,4.47,1.33,1.61,61
93年,1833.34,31.92,32.44,0.31,0.31,0.31,4.06,4.12,4.23,1.42,1.65,62
94年,2156.66,32.85,33.52,0.28,0.28,0.28,4.2,4.26,4.38,1.58,1.78,65
95年,2610,32.6,32.72,0.27,0.28,0.28,4.16,4.22,4.27,1.73,1.9,68
96年,3233.33,32.44,32.6,0.29,0.29,0.29,4.13,4.19,4.2,1.97,2.14,75
97年,3393.34,32.86,33.34,0.36,0.37,0.37,4.2,4.26,4.32,2.06,2.25,76
98年,4596.66,32.03,32.46,0.35,0.35,0.36,4.1,4.16,4.2,1.96,2.13,63
99年,5226.67,30.37,30.12,0.37,0.38,0.36,3.88,3.94,3.89,2.02,2.19,65
100年,6350,30.29,30.45,0.39,0.39,0.39,3.87,3.93,3.93,2.05,2.21,66
101年,6170,29.14,29.25,0.33,0.34,0.35,3.72,3.78,3.79,2.08,2.25,65
102年,4636.67,29.95,29.93,0.28,0.29,0.29,3.81,3.87,3.87,2.09,2.25,65
103年,4786.67,31.72,31.61,0.26,0.27,0.26,4.05,4.11,4.1,-,-,63
104年,4513.33,33.07,32.97,0.27,0.27,0.27,4.21,4.27,4.27,-,-,63
105年,4726.67,32.28,31.93,0.27,0.28,0.28,4.13,4.19,4.13,-,-,61
106年,4836.67,29.85,30.16,0.26,0.27,0.27,3.82,3.88,3.88,-,-,61
107年,4856.67,30.73,31.08,0.28,0.28,0.27,3.89,3.95,3.99,-,-,61
108年,5650,30.11,30.53,0.27,0.28,0.28,3.82,3.88,3.92,-,-,61
109年,6480,28.51,28.79,0.27,0.27,0.27,3.6,3.66,3.73,-,-,58
110年,6293.33,27.69,28.04,0.24,0.24,0.24,3.52,3.58,3.61,-,-,59
111年,6950,30.71,30.95,0.23,0.23,0.23,3.91,3.97,3.99,-,-,63
